번호,제목
392,고하라 주 예수께
393,주 음성 외에는
394,주 예수께 조용히 나가
395,예수 나를 오라 하네
396,구주의 귀한 몸 날 위하여
397,내 주여 뜻대로
398,너의 모든 것을 내려놓기 전엔
399,주님만 따르리
400,십자가를 내가 지고
401,내 구주 하나님
402,예수를 위해 사는 것
403,너 시험을 당해 굴복치 말고
404,십자가를 질 수 있나
405,나의 생명 드리니
406,넌 무얼 주느냐
407,주를 위해 바치리
408,모든 것을 내려놓고
409,나의 영원하신 유업
410,축복이 되게 날 만드소서
411,주님께 최선을 다해
412,날마다 써 주소서
413,매일 매 순간
414,귀하신 주여 날 이끄사
415,바치어라 네 마음을
416,주 예수 위해 나 살렵니다
417,받으소서 주 예수여
418,종의 마음 주옵소서
419,값 비싼 향유를 주께 드린
420,나 얼마나 주님을 사랑했나
421,사랑하는 주님 앞에
422,우리 다시 만날 때까지
423,더 가까이 가네
424,변함없는 나의 친구
425,주 내게 사시네
426,저 장미꽃 위에 이슬
427,주의 영원한 팔에 안기세
428,주 안의 성도여
429,주의 사랑 안에서
430,주 믿는 형제들
431,주 예수 피로 이룬 샘
432,주의 귀한 피로
433,눈 보다 희게 되었네
434,너 성결키 위해
435,오 하나님 내 마음 살피사
436,예수 이름 불러 보라
437,이것은 나의 간증이요
438,능력 많으신 그 손길
439,신기하구나
440,그 어디나 천국일세
441,놀랍고 놀라운 예수
442,반가운 구조선
443,할레루야 대속하셨네
444,주와 동행 하는 것 영광이로다
445,그대 그 자리에 있었느뇨
446,우물가의 여인처럼
447,내가 영원히 사모할 주님
448,생수의 샘
449,나의 모든 죄가 용서 받은 후
450,나 주께 속했네
451,주 예수 내 맘에 오심
452,예수 밖에 누가 날 돌보랴
453,한 가지 아는 것
454,은혜 더 주시네
455,주님 내게 오신 후
456,죄의 짐 벗었네
457,기쁜 날
458,내 주의 이름 더욱 귀하네
459,하나님 세상을
460,하늘의 영광 내 맘에 넘치네
461,나 진실한 친구 찾았네
462,조용히 예수님 보라
463,주는 놀라운 나의 구주
464,은혜로 구원하셨네
465,내가 찾은 기쁨의 길
466,주여 감사합니다
467,예수님은 나의 기쁨
468,나 같은 죄인 살리신
469,옛날 빚이 청산 되었네
470,내 구주 예수를 더욱 사랑
471,오 주 예수 깊은 사랑
472,교회의 참된 기초
473,시온성과 같은 교회
474,많은 무리 몰려 오네
475,구원 받은 증거로 침례 받도다
476,주님의 명령 따라서
477,피흘려 사신 교회
478,의지하고 확인해 보라
479,빵과 포도즙
480,거룩한 이 시간
481,십자가 군병들아
482,믿는 사람들아 주의 군대여
483,일어나 일어나라
484,나 주 따르리
485,싸움 터졌다
486,주 예수 우리 위하여
487,담대한 주의 군사여
488,천국을 행해 갑시다
489,누가 주를 따라 주를 섬길까
490,우리 앞에는 승리뿐일세
491,최후의 승리 얻겠네
492,믿는 이여 용기내어
493,주 안에 있는 승리
494,주를 앙모하는 자
495,저 죽어가는 자 다 구원하여
496,십자가 군병되어서
497,다니엘과 같이
498,선한 싸움 다 싸우고
499,십자가 군병 되어서
500,믿음이 이기네
501,진실로 승리 하리라
502,모든 정복자 보다
503,나는 주님 편에 서 있네
504,어둔 밤 쉬 되리니
505,일하러 나가세
506,주님의 발자취
507,기쁨으로 단을 거두리로다
508,우리 집 잘 짓세
509,완전한 사랑
510,영원히 섬기겠네
511,최고로 좋은 것을 드리세
512,이 세상 끝날까지
513,주께 충성하라
514,예수께로 인도하세
515,축복의 통로가 되렵니다
516,할 준비 됐느뇨
517,추수 잔치 참예 할 자 누구뇨
518,생명 빛 비추세
519,주 내게 맡겨주신 일
520,빛의 사자들이여
521,예수 구원하신다
522,예부터 전한 말씀
523,매일의 네 생활
524,내 너를 악한 세상에 보냄은
525,하나님의 진리 등대
526,네가 있는 곳에 빛을 비춰라
527,큰 권세 내게 있으니
528,저 북방 얼음 산과
529,예수 사랑 전하세
530,매일 증인 되리라
531,너의 눈이 보는 것을
532,세상에 전해 줄 소식 있네
533,지금 곧 생명줄 던지어라
534,성도들아 이 소식 전파하라
535,저 곳에 가리라
536,나를 보내 주소서
537,기쁜 일이 있어
538,아무나 와도 좋소
539,기쁜 이 소식 널리 전하세
540,빈손으로 나갈까
541,누가 오늘 일할꼬
542,넓은 들에 익은 곡식
543,그들 찾아 전하세
544,천국이 가깝다
545,저 강 건너 있는 내 집
546,보아라 즐거운 우리 집
547,주의 얼굴 뵈오리
548,잠시만 지나면
549,황금종 울린다
550,천국은 참 좋은 곳
551,저 뵈는 본향집
552,세상 고생 꿈에 본듯 잊으리
553,참 아름다운 영광이로다
554,잠시 동안 이 세상 살면서
555,하늘 가는 밝은 길이
556,해지는 서산 너머
557,후일에 생명 그칠 때
558,황무지가 장미꽃 같이
559,훗날 금빛 아침에
560,천국에서 만나 보자
561,훗날 우리 다시 만나
562,주가 진주문을 열고
563,주 위해 힘써 일하고
564,해 지는 저편
565,영원한 본향
566,훗 날에
567,구름 없는 날
568,늙음 없네
569,찬송하라 주의 크신 사랑
570,요단강 저편 언덕에
571,높은 곳에 있는 내 집
572,주와 같이 영원히 살겠네
573,내 본향 가는 길
574,밤이 없는 델세
575,주의 얼굴 뵈오리
576,장미 지지 않는 곳
577,예수 사랑 하심은
578,예수 어린아이 사랑하시네
579,사랑의 하나님
580,예수께서 오실 때에
581,나와 같은 아이 부르셨어요
582,주님의 어린 십자군
583,지난 밤에 보호하사
584,주 안에 있는 가정은
585,제일 좋아합니다
586,저 밭에 농부 나가
587,추수 찬송 부르세
588,혼인 예식 행하세
589,주님은 내 노래 제목일세
